date,impressions,shares,comments,website_clicks,replies,accounts_engaged,total_interactions,reach,profile_views,profile_links_taps,likes
2022-12-12,3283,0,0,5,0,0,0,3036,57,0,0
2022-12-13,922,0,0,2,0,0,0,746,31,0,0
2022-12-14,1261,0,0,2,0,0,0,516,30,0,0
2022-12-15,379,0,0,1,0,0,0,208,19,0,0
2022-12-16,440,0,0,5,0,0,0,267,31,0,0
2022-12-17,190,0,0,1,0,0,0,124,14,0,0
2022-12-18,208,0,0,0,0,0,0,75,8,0,0
2022-12-19,1279,0,0,0,0,0,0,828,40,0,0
2022-12-20,718,0,0,3,0,0,0,495,25,0,0
2022-12-21,257,0,0,5,0,0,0,225,14,0,0
2022-12-22,503,0,0,0,0,0,0,287,26,0,0
2022-12-23,237,0,0,1,0,0,0,117,13,0,0
2022-12-24,84,0,0,0,0,0,0,61,12,0,0
2022-12-25,80,0,0,4,0,0,0,51,13,0,0
2022-12-26,50,0,0,1,0,0,0,27,14,0,0
2022-12-27,668,0,0,2,0,0,0,569,28,0,0
2022-12-28,381,0,0,1,0,0,0,288,21,0,0
2022-12-29,2724,0,0,6,0,0,0,1686,43,0,0
2022-12-30,1601,0,0,3,0,0,0,1351,30,0,0
2022-12-31,466,0,0,0,0,0,0,431,6,0,0
2023-01-01,212,0,0,0,0,0,0,194,9,0,0
2023-01-02,1210,0,0,3,0,0,0,932,25,0,0
2023-01-03,560,0,0,1,0,0,0,463,19,0,0
2023-01-04,3030,0,0,2,0,0,0,1948,39,0,0
2023-01-05,2181,0,0,4,0,0,0,1550,26,0,0
2023-01-06,1385,0,0,6,0,0,0,1041,16,0,0
2023-01-07,560,0,0,3,0,0,0,406,13,0,0
2023-01-08,583,0,0,5,0,0,0,191,22,0,0
2023-01-09,1043,0,0,3,0,0,0,813,31,0,0
2023-01-10,1623,0,0,3,0,0,0,1136,20,0,0
2023-01-11,1746,0,0,3,0,0,0,979,29,0,0
2023-01-12,867,0,0,3,0,0,0,457,30,0,0
2023-01-13,504,0,0,2,0,0,0,385,16,0,0
2023-01-14,131,0,0,1,0,0,0,43,12,0,0
2023-01-15,174,0,0,2,0,0,0,15,15,0,0
2023-01-16,130,0,0,0,0,0,0,18,11,0,0
2023-01-17,435,0,0,0,0,0,0,372,25,0,0
2023-01-18,491,0,0,2,0,0,0,392,19,0,0
2023-01-19,313,0,0,1,0,0,0,142,17,0,0
2023-01-20,834,0,0,0,0,0,0,323,24,0,0
2023-01-21,203,0,0,1,0,0,0,128,10,0,0
2023-01-22,178,0,0,1,0,0,0,66,5,0,0
2023-01-23,692,0,0,2,0,0,0,607,19,0,0
2023-01-24,407,0,0,1,0,0,0,331,12,0,0
2023-01-25,523,0,0,3,0,0,0,465,14,0,0
2023-01-26,1776,0,0,1,0,0,0,667,20,0,0
2023-01-27,736,0,0,1,0,0,0,563,11,0,0
2023-01-28,495,0,0,0,0,0,0,408,10,0,0
2023-01-29,267,0,0,1,0,0,0,189,6,0,0
2023-01-30,173,0,0,0,0,0,0,145,5,0,0
2023-01-31,565,0,0,0,0,0,0,453,20,0,0
2023-02-01,1225,0,0,4,0,0,0,616,30,0,0
2023-02-02,932,0,0,2,0,0,0,544,23,0,0
2023-02-03,404,0,0,0,0,0,0,331,10,0,0
2023-02-04,296,0,0,3,0,0,0,220,10,0,0
2023-02-05,211,0,0,0,0,0,0,180,8,0,0
2023-02-06,528,0,0,0,0,0,0,446,23,0,0
2023-02-07,512,0,0,0,0,0,0,445,11,0,0
2023-02-08,1189,0,0,3,0,0,0,889,26,0,0
2023-02-09,1354,0,0,2,0,0,0,700,18,0,0
2023-02-10,581,0,0,1,0,0,0,393,6,0,0
2023-02-11,137,0,0,1,0,0,0,113,4,0,0
2023-02-12,273,0,0,0,0,0,0,44,8,0,0
2023-02-13,653,0,0,6,0,0,0,605,17,0,0
2023-02-14,726,0,0,1,0,0,0,530,19,0,0
2023-02-15,876,0,0,2,0,0,0,291,15,0,0
2023-02-16,849,0,0,9,0,0,0,591,18,0,0
2023-02-17,707,0,0,0,0,0,0,534,9,0,0
2023-02-18,1177,0,0,3,0,0,0,1043,19,0,0
2023-02-19,87,0,0,1,0,0,0,83,7,0,0
2023-02-20,791,0,0,0,0,0,0,156,13,0,0
2023-02-21,937,0,0,2,0,0,0,595,19,0,0
2023-02-22,694,0,0,1,0,0,0,573,25,0,0
2023-02-23,1545,0,0,4,0,0,0,1337,31,0,0
2023-02-24,746,0,0,1,0,0,0,617,13,0,0
2023-02-25,150,0,0,0,0,0,0,128,7,0,0
2023-02-26,88,0,0,0,0,0,0,35,13,0,0
2023-02-27,304,0,0,0,0,0,0,276,9,0,0
2023-02-28,379,0,0,3,0,0,0,276,11,0,0
2023-03-01,917,0,0,1,0,0,0,260,9,0,0
2023-03-02,570,0,0,0,0,0,0,295,8,0,0
2023-03-03,291,0,0,0,0,0,0,100,10,0,0
2023-03-04,206,0,0,1,0,0,0,133,8,0,0
2023-03-05,35,0,0,0,0,0,0,27,10,0,0
2023-03-06,1279,0,0,7,0,0,0,1202,35,0,0
2023-03-07,1407,0,0,11,0,0,0,1322,24,0,0
2023-03-08,1231,0,0,4,0,0,0,826,11,0,0
2023-03-09,1360,0,0,7,0,0,0,820,19,0,0
2023-03-10,714,0,0,3,0,0,0,422,15,0,0
2023-03-11,272,0,0,2,0,0,0,238,10,0,0
2023-03-12,265,0,0,2,0,0,0,52,11,0,0
2023-03-13,1329,0,0,1,0,0,0,1182,52,0,0
2023-03-14,910,0,0,1,0,0,0,772,19,0,0
2023-03-15,893,0,0,1,0,0,0,486,15,0,0
2023-03-16,1449,0,0,38,0,0,0,314,138,0,0
2023-03-17,1830,0,0,68,0,0,0,763,187,0,0
2023-03-18,964,0,0,37,0,0,0,469,95,0,0
2023-03-19,1826,0,0,94,0,0,0,436,175,0,0
2023-03-20,222,0,0,5,0,0,0,145,27,0,0
2023-03-21,289,0,0,2,0,0,0,261,11,0,0
2023-03-22,1660,0,0,10,0,0,0,974,31,0,0
2023-03-23,1742,0,0,6,0,0,0,1533,20,0,0
2023-03-24,385,0,0,2,0,0,0,279,17,0,0
2023-03-25,227,0,0,2,0,0,0,145,10,0,0
2023-03-26,26,0,0,0,0,0,0,17,12,0,0
2023-03-27,37,0,0,1,0,0,0,4,11,0,0
2023-03-28,372,0,0,1,0,0,0,281,14,0,0
2023-03-29,999,0,0,0,0,0,0,258,20,0,0
2023-03-30,5720,0,0,42,0,0,0,4365,120,0,0
2023-03-31,1880,0,0,11,0,0,0,1723,29,0,0
2023-04-01,1300,0,0,17,0,0,0,993,62,0,0
2023-04-02,726,0,0,6,0,0,0,372,49,0,0
2023-04-03,90,0,0,0,0,0,0,58,19,0,0
2023-04-04,4219,0,0,10,0,0,0,3340,67,0,0
2023-04-05,1364,0,0,2,0,0,0,1093,18,0,0
2023-04-06,496,0,0,2,0,0,0,464,10,0,0
2023-04-07,253,0,0,2,0,0,0,153,12,0,0
2023-04-08,92,0,0,0,0,0,0,41,8,0,0
2023-04-09,105,0,0,0,0,0,0,21,10,0,0
2023-04-10,1181,0,0,7,0,0,0,1090,28,0,0
2023-04-11,850,0,0,1,0,0,0,601,12,0,0
2023-04-12,388,0,0,0,0,0,0,212,10,0,0
2023-04-13,199,0,0,1,0,0,0,105,8,0,0
2023-04-14,35,0,0,1,0,0,0,26,5,0,0
2023-04-15,9,0,0,0,0,0,0,9,1,0,0
2023-04-16,27,0,0,1,0,0,0,15,13,0,0
2023-04-17,471,0,0,1,0,0,0,423,38,0,0
2023-04-18,1215,0,0,3,0,0,0,450,29,0,0
2023-04-19,241,0,0,0,0,0,0,114,9,0,0
2023-04-20,547,0,0,1,0,0,0,280,22,0,0
2023-04-21,160,0,0,0,0,0,0,128,11,0,0
2023-04-22,112,0,0,0,0,0,0,80,8,0,0
2023-04-23,87,0,0,2,0,0,0,70,9,0,0
2023-04-24,17,0,0,0,0,0,0,11,5,0,0
2023-04-25,638,0,0,4,0,0,0,569,27,0,0
2023-04-26,412,0,0,3,0,0,0,330,14,0,0
2023-04-27,272,0,0,0,0,0,0,136,6,0,0
2023-04-28,797,0,0,1,0,0,0,324,14,0,0
2023-04-29,333,0,0,1,0,0,0,257,8,0,0
2023-04-30,96,0,0,0,0,0,0,87,9,0,0
2023-05-01,34,0,0,1,0,0,0,23,5,0,0
2023-05-02,2251,0,0,2,0,0,0,1982,54,0,0
2023-05-03,1137,0,0,2,0,0,0,934,25,0,0
2023-05-04,1445,0,0,1,0,0,0,969,12,0,0
2023-05-05,457,0,0,1,0,0,0,352,8,0,0
2023-05-06,115,0,0,0,0,0,0,84,5,0,0
2023-05-07,93,0,0,1,0,0,0,64,3,0,0
2023-05-08,1176,0,0,1,0,0,0,767,13,0,0
2023-05-09,988,0,0,1,0,0,0,600,15,0,0
2023-05-10,202,0,0,0,0,0,0,178,4,0,0
2023-05-11,249,0,0,0,0,0,0,119,11,0,0
2023-05-12,154,0,0,0,0,0,0,153,4,0,0
2023-05-13,36,0,0,2,0,0,0,36,5,0,0
2023-05-14,20,0,0,0,0,0,0,18,1,0,0
2023-05-15,820,0,0,4,0,0,0,714,18,0,0
2023-05-16,881,0,0,1,0,0,0,792,19,0,0
2023-05-17,1259,0,0,1,0,0,0,746,14,0,0
2023-05-18,362,0,0,0,0,0,0,298,9,0,0
2023-05-19,120,0,0,0,0,0,0,96,8,0,0
2023-05-20,60,0,0,3,0,0,0,46,12,0,0
2023-05-21,30,0,0,0,0,0,0,26,6,0,0
2023-05-22,84,0,0,0,0,0,0,19,10,0,0
2023-05-23,3899,0,0,15,0,0,0,3455,50,0,0
2023-05-24,1996,0,0,4,0,0,0,1386,27,0,0
2023-05-25,1305,0,0,2,0,0,0,1051,6,0,0
2023-05-26,168,0,0,2,0,0,0,148,2,0,0
2023-05-27,135,0,0,0,0,0,0,129,4,0,0
2023-05-28,77,0,0,0,0,0,0,58,4,0,0
2023-05-29,550,0,0,2,0,0,0,488,19,0,0
2023-05-30,254,0,0,2,0,0,0,174,10,0,0
2023-05-31,750,0,0,1,0,0,0,329,11,0,0
2023-06-01,453,0,0,1,0,0,0,225,13,0,0
2023-06-02,66,0,0,0,0,0,0,63,7,0,0
2023-06-03,46,0,0,1,0,0,0,41,3,0,0
2023-06-04,108,0,0,0,0,0,0,105,6,0,0
2023-06-05,2207,0,0,14,0,0,0,1872,53,0,0
2023-06-06,1496,0,0,3,0,0,0,1400,19,0,0
2023-06-07,1733,0,0,2,0,0,0,1161,15,0,0
2023-06-08,759,0,0,2,0,0,0,428,14,0,0
2023-06-09,239,0,0,0,0,0,0,213,6,0,0
2023-06-10,137,0,0,0,0,0,0,131,4,0,0
2023-06-11,43,0,0,0,0,0,0,30,10,0,0
2023-06-12,47,0,0,0,0,0,0,20,10,0,0
2023-06-13,744,0,0,2,0,0,0,533,29,0,0
2023-06-14,732,0,0,3,0,0,0,242,12,0,0
2023-06-15,484,0,0,0,0,0,0,158,10,0,0
2023-06-16,32,0,0,0,0,0,0,29,4,0,0
2023-06-17,26,0,0,0,0,0,0,21,5,0,0
2023-06-18,250,0,0,0,0,0,0,232,10,0,0
2023-06-19,133,0,0,1,0,0,0,93,8,0,0
2023-06-20,58,0,0,0,0,0,0,41,5,0,0
2023-06-21,1025,0,0,1,0,0,0,547,23,0,0
2023-06-22,491,0,0,0,0,0,0,280,11,0,0
2023-06-23,377,0,0,6,0,0,0,263,18,0,0
2023-06-24,191,0,0,5,0,0,0,121,10,0,0
2023-06-25,151,0,0,3,0,0,0,96,12,0,0
2023-06-26,598,0,0,13,0,0,0,483,26,0,0
2023-06-27,263,0,0,3,0,0,0,187,11,0,0
2023-06-28,103,0,0,1,0,0,0,91,12,0,0
2023-06-29,763,0,0,1,0,0,0,293,11,0,0
2023-06-30,349,0,0,1,0,0,0,161,6,0,0
2023-07-01,110,0,0,1,0,0,0,83,7,0,0
2023-07-02,57,0,0,1,0,0,0,53,8,0,0
2023-07-03,24,0,0,0,0,0,0,18,4,0,0
2023-07-04,552,0,0,6,0,0,0,418,33,0,0
2023-07-05,448,0,0,4,0,0,0,346,14,0,0
2023-07-06,251,0,0,0,0,0,0,208,14,0,0
2023-07-07,539,0,0,0,0,0,0,223,11,0,0
2023-07-08,162,0,0,2,0,0,0,83,3,0,0
2023-07-09,23,0,0,0,0,0,0,23,2,0,0
2023-07-10,298,0,0,1,0,0,0,249,19,0,0
2023-07-11,529,0,0,1,0,0,0,226,7,0,0
2023-07-12,739,0,0,8,0,0,0,300,41,0,0
2023-07-13,418,0,0,3,0,0,0,150,24,0,0
2023-07-14,360,0,0,1,0,0,0,272,8,0,0
2023-07-15,108,0,0,0,0,0,0,101,4,0,0
2023-07-16,63,0,0,0,0,0,0,12,10,0,0
2023-07-17,688,0,0,3,0,0,0,539,16,0,0
2023-07-18,171,0,0,0,0,0,0,165,4,0,0
2023-07-19,612,0,0,0,0,0,0,276,14,0,0
2023-07-20,63,0,0,0,0,0,0,58,3,0,0
2023-07-21,2435,0,0,8,0,0,0,1900,31,0,0
2023-07-22,1518,0,0,6,0,0,0,1159,23,0,0
2023-07-23,941,0,0,3,0,0,0,825,17,0,0
2023-07-24,692,0,0,2,0,0,0,518,19,0,0
2023-07-25,269,0,0,2,0,0,0,238,13,0,0
2023-07-26,585,0,0,5,0,0,0,126,35,0,0
2023-07-27,1567,0,0,7,0,0,0,615,52,0,0
2023-07-28,527,0,0,4,0,0,0,166,32,0,0
2023-07-29,336,0,0,2,0,0,0,120,39,0,0
2023-07-30,225,0,0,7,0,0,0,54,26,0,0
2023-07-31,1754,0,0,3,0,0,0,1476,20,0,0
2023-08-01,5720,0,0,6,0,0,0,5502,41,0,0
2023-08-02,4780,0,0,5,0,0,0,4135,53,0,0
2023-08-03,4967,0,0,7,0,0,0,3601,92,0,0
2023-08-04,754,0,0,0,0,0,0,693,9,0,0
2023-08-05,1048,0,0,0,0,0,0,910,16,0,0
2023-08-06,1512,0,0,4,0,0,0,1362,11,0,0
2023-08-07,2466,0,0,0,0,0,0,1951,31,0,0
2023-08-08,5488,0,0,0,0,0,0,4674,91,0,0
2023-08-09,7729,0,0,6,0,0,0,5754,148,0,0
2023-08-10,9790,0,0,5,0,0,0,7320,222,0,0
2023-08-11,9488,0,0,7,0,0,0,8029,203,0,0
2023-08-12,11365,0,0,5,0,0,0,9165,267,0,0
2023-08-13,16250,0,0,10,0,0,0,12957,362,0,0
2023-08-14,15380,0,0,14,0,0,0,11403,355,0,0
2023-08-15,18201,0,0,9,0,0,0,13771,361,0,0
2023-08-16,19279,0,0,16,0,0,0,14374,433,0,0
2023-08-17,17881,0,0,5,0,0,0,12377,386,0,0
2023-08-18,14149,0,0,8,0,0,0,10564,375,0,0
2023-08-19,11130,0,0,6,0,0,0,7802,313,0,0
2023-08-20,13796,0,0,14,0,0,0,9363,413,0,0
2023-08-21,14476,0,0,12,0,0,0,9463,425,0,0
2023-08-22,8112,0,0,5,0,0,0,5995,217,0,0
2023-08-23,7482,0,0,7,0,0,0,5226,242,0,0
2023-08-24,10668,0,0,16,0,0,0,7321,286,0,0
2023-08-25,12588,0,0,16,0,0,0,9227,311,0,0
2023-08-26,16853,0,0,6,0,0,0,11452,456,0,0
2023-08-27,17478,0,0,22,0,0,0,13740,443,0,0
2023-08-28,13619,0,0,22,0,0,0,10651,348,0,0
2023-08-29,8832,0,0,8,0,0,0,6322,222,0,0
2023-08-30,9990,0,0,6,0,0,0,6968,257,0,0
2023-08-31,10673,0,0,9,0,0,0,7043,330,0,0
2023-09-01,5955,0,0,2,0,0,0,4165,225,0,0
2023-09-02,5166,0,0,9,0,0,0,3444,208,0,0
2023-09-03,5236,0,0,9,0,0,0,3050,171,0,0
2023-09-04,6411,0,0,21,0,0,0,3789,230,0,0
2023-09-05,5864,0,0,6,0,0,0,3543,164,0,0
2023-09-06,4683,0,0,3,0,0,0,3279,159,0,0
2023-09-07,3502,0,0,6,0,0,0,1941,123,0,0
2023-09-08,3961,0,0,1,0,0,0,2950,147,0,0
2023-09-09,5102,0,0,6,0,0,0,3187,166,0,0
2023-09-10,5214,0,0,10,0,0,0,3450,174,0,0
2023-09-11,9788,0,0,10,0,0,0,6698,281,0,0
2023-09-12,8309,0,0,13,0,0,0,5692,228,0,0
2023-09-13,7476,0,0,13,0,0,0,5420,215,0,0
2023-09-14,4700,0,0,3,0,0,0,3099,140,0,0
2023-09-15,5912,0,0,5,0,0,0,3808,201,0,0
2023-09-16,3895,0,0,2,0,0,0,2630,138,0,0
2023-09-17,1954,0,0,2,0,0,0,1392,77,0,0
2023-09-18,3964,0,0,12,0,0,0,2424,128,0,0
2023-09-19,4892,0,0,12,0,0,0,3230,162,0,0
2023-09-20,3912,0,0,8,0,0,0,2237,118,0,0
2023-09-21,3420,0,0,4,0,0,0,2181,118,0,0
2023-09-22,3078,0,0,3,0,0,0,1938,100,0,0
2023-09-23,2866,0,0,2,0,0,0,2030,112,0,0
2023-09-24,2938,0,0,3,0,0,0,1835,98,0,0
2023-09-25,3600,0,0,7,0,0,0,2376,103,0,0
2023-09-26,7126,0,0,17,0,0,0,4664,243,0,0
2023-09-27,7601,0,0,8,0,0,0,4626,209,0,0
2023-09-28,4627,0,0,9,0,0,0,3113,155,0,0
2023-09-29,4174,0,0,28,0,0,0,2167,241,0,0
