,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Content views,Website content views,Checkouts Initiated,Website checkouts initiated,Adds of payment info,Website adds of payment info,Purchase ROAS (return on ad spend),Website purchase ROAS (return on ad spend),Purchases,Website purchases,Date created,Date last edited,Objective,Bid,Bid type,Reporting starts,Reporting ends,Starts
67697,New Engagement Ad,inactive,7-day click or 1-day view,151.0,actions:post_engagement,476,1.086134,0.1215894,80,Lifetime,18.36,2023-02-11,517,35.512573,1.0,18.36,0.193424,1,0.193424,18.36,,,,,,,,,,,,2023-01-23,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2023-02-07,2023-02-13,2023-01-23
68484,New Engagement Ad,inactive,7-day click or 1-day view,283.0,actions:post_engagement,728,1.167582,0.10289753,80,Lifetime,29.12,2023-02-11,850,34.258824,2.0,14.56,0.235294,7,0.823529,4.16,1.0,,,,,,,,,,,2023-01-23,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2023-01-31,2023-02-06,2023-01-23
69271,New Engagement Ad,inactive,7-day click or 1-day view,287.0,actions:post_engagement,586,1.170648,0.10864111,80,Lifetime,31.18,2023-02-11,686,45.451895,3.0,10.393333,0.437318,3,0.437318,10.393333,1.0,,,,,,,,,,,2023-01-23,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2023-01-24,2023-01-30,2023-01-23
70058,New Engagement Ad,inactive,7-day click or 1-day view,14.0,actions:post_engagement,22,1.0,0.09571429,80,Lifetime,1.34,2023-02-11,22,60.909091,,,,0,0.0,0.0,,,,,,,,,,,,2023-01-23,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2023-01-17,2023-01-23,2023-01-23
75599,New Engagement Ad,inactive,7-day click or 1-day view,84.0,actions:post_engagement,174,1.011494,0.1825,35,Lifetime,15.33,2022-12-02,176,87.102273,,,,0,0.0,0.0,,,,,,,,,,,,2022-11-23,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-11-29,2022-12-05,2022-11-23
76386,New Engagement Ad,inactive,7-day click or 1-day view,118.0,actions:post_engagement,174,1.16092,0.16669492,35,Lifetime,19.67,2022-12-02,202,97.376238,,,,0,0.0,0.0,,,,,,,,,,,,2022-11-23,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-11-22,2022-11-28,2022-11-23
77205,New Traffic Ad,inactive,7-day click or 1-day view,3.0,actions:link_click,35,1.0,0.69333333,40,Lifetime,2.08,2022-11-15,35,59.428571,3.0,0.693333,8.571429,3,8.571429,0.693333,,,,,,,,,,,,2022-11-02,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-11-15,2022-11-21,2022-11-02
77992,New Traffic Ad,inactive,7-day click or 1-day view,25.0,actions:link_click,444,1.096847,0.8344,40,Lifetime,20.86,2022-11-15,487,42.833676,25.0,0.8344,5.13347,25,5.13347,0.8344,13.0,,,,,,,,,,,2022-11-02,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-11-08,2022-11-14,2022-11-02
78779,New Traffic Ad,inactive,7-day click or 1-day view,23.0,actions:link_click,504,1.051587,0.74173913,40,Lifetime,17.06,2022-11-15,530,32.188679,23.0,0.741739,4.339623,26,4.90566,0.656154,10.0,,,,,,,,,,,2022-11-02,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-11-01,2022-11-07,2022-11-02
81172,New Engagement Ad,inactive,7-day click or 1-day view,98.0,actions:post_engagement,347,1.011527,0.09316327,20,Lifetime,9.13,2022-10-13,351,26.011396,1.0,9.13,0.2849,1,0.2849,9.13,1.0,,,,,,,,,,,2022-10-07,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-10-11,2022-10-17,2022-10-07
81959,New Engagement Ad,inactive,7-day click or 1-day view,139.0,actions:post_engagement,470,1.1,0.07820144,20,Lifetime,10.87,2022-10-13,517,21.025145,,,,0,0.0,0.0,,,,,,,,,,,,2022-10-07,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-10-04,2022-10-10,2022-10-07
92222,New Traffic Ad,inactive,7-day click or 1-day view,14.0,actions:link_click,513,1.003899,0.47714286,30,Lifetime,6.68,2022-07-05,515,12.970874,14.0,0.477143,2.718447,18,3.495146,0.371111,1.0,,,,,,,,,,,2022-07-03,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-07-05,2022-07-11,2022-07-03
92880,New Traffic Ad,inactive,7-day click or 1-day view,18.0,actions:link_click,801,1.003745,0.90277778,100,Lifetime,16.25,2022-06-28,804,20.211443,18.0,0.902778,2.238806,27,3.358209,0.601852,,,,,,,,,,,,2022-06-22,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-06-28,2022-07-04,2022-06-22
92912,New Post engagement Ad,inactive,7-day click or 1-day view,102.0,actions:post_engagement,501,1.033932,0.0545098,20,Lifetime,5.56,2022-06-30,518,10.733591,,,,2,0.3861,2.78,,,,,,,,,,,,2022-06-22,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-06-28,2022-07-04,2022-06-22
93009,New Traffic Ad,inactive,7-day click or 1-day view,42.0,actions:link_click,1437,1.017397,0.5552381,30,Lifetime,23.32,2022-07-05,1462,15.950752,42.0,0.555238,2.872777,51,3.488372,0.457255,7.0,,,,,,,,,,,2022-07-03,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-06-28,2022-07-04,2022-07-03
93667,New Traffic Ad,inactive,7-day click or 1-day view,74.0,actions:link_click,3471,1.147796,1.13175676,100,Lifetime,83.75,2022-06-28,3984,21.021586,74.0,1.131757,1.85743,105,2.635542,0.797619,34.0,,,,,,,,,,,2022-06-22,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-06-21,2022-06-27,2022-06-22
93699,New Post engagement Ad,inactive,7-day click or 1-day view,196.0,actions:post_engagement,865,1.087861,0.07367347,20,Lifetime,14.44,2022-06-30,941,15.345377,,,,2,0.21254,7.22,,,,,,,,,,,,2022-06-22,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-06-21,2022-06-27,2022-06-22
97666,New Post engagement Ad,inactive,7-day click or 1-day view,114.0,actions:post_engagement,1936,1.125517,0.07447368,25,Lifetime,8.49,2022-05-20,2179,3.896283,,,,3,0.137678,2.83,,,,,,,,,,,,2022-05-09,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-05-17,2022-05-23,2022-05-09
98453,New Post engagement Ad,inactive,7-day click or 1-day view,224.0,actions:post_engagement,3066,1.359426,0.07366071,25,Lifetime,16.5,2022-05-20,4168,3.958733,,,,8,0.191939,2.0625,,,,,,,,,,,,2022-05-09,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-05-10,2022-05-16,2022-05-09
99272,New Traffic Ad,inactive,7-day click or 1-day view,79.0,actions:link_click,1546,1.087322,0.40544304,60,Lifetime,32.03,2022-05-08,1681,19.054134,79.0,0.405443,4.699584,86,5.116002,0.372442,57.0,2.0,2.0,,,,,,,,,2022-04-27,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-05-03,2022-05-09,2022-04-27
100059,New Traffic Ad,inactive,7-day click or 1-day view,74.0,actions:link_click,1358,1.086156,0.37797297,60,Lifetime,27.97,2022-05-08,1475,18.962712,74.0,0.377973,5.016949,79,5.355932,0.354051,54.0,4.0,4.0,,,,,,,,,2022-04-27,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-04-26,2022-05-02,2022-04-27
101665,New Post engagement Ad,inactive,7-day click or 1-day view,31.0,actions:post_engagement,225,1.084444,0.17419355,20,Lifetime,5.4,2022-04-14,244,22.131148,,,,0,0.0,0.0,,,,,,,,,,,,2022-04-05,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-04-12,2022-04-18,2022-04-05
102452,New Post engagement Ad,inactive,7-day click or 1-day view,93.0,actions:post_engagement,490,1.159184,0.15698925,20,Lifetime,14.6,2022-04-14,568,25.704225,,,,1,0.176056,14.6,,,,,,,,,,,,2022-04-05,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-04-05,2022-04-11,2022-04-05
103271,New Post engagement Ad,inactive,7-day click or 1-day view,141.0,actions:post_engagement,609,1.118227,0.07907801,12,Lifetime,11.15,2022-04-04,681,16.372981,,,,1,0.146843,11.15,,,,,,,,,,,,2022-03-28,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-03-29,2022-04-04,2022-03-28
104058,New Post engagement Ad,inactive,7-day click or 1-day view,10.0,actions:post_engagement,37,1.0,0.085,12,Lifetime,0.85,2022-04-04,37,22.972973,,,,0,0.0,0.0,,,,,,,,,,,,2022-03-28,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-03-22,2022-03-28,2022-03-28
104090,New Traffic Ad,inactive,7-day click or 1-day view,147.0,actions:link_click,2624,1.160442,0.34013605,50,Lifetime,50.0,2022-03-26,3045,16.420361,147.0,0.340136,4.827586,173,5.681445,0.289017,127.0,5.0,5.0,,,,,,,,,2022-03-22,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-03-22,2022-03-28,2022-03-22
104122,New Post engagement Ad,inactive,7-day click or 1-day view,20.0,actions:post_engagement,133,1.022556,0.201,50,Lifetime,4.02,2022-03-23,136,29.558824,,,,0,0.0,0.0,,,,,,,,,,,,2022-03-10,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-03-22,2022-03-28,2022-03-10
104909,New Post engagement Ad,inactive,7-day click or 1-day view,183.0,actions:post_engagement,474,1.065401,0.14830601,50,Lifetime,27.14,2022-03-23,505,53.742574,,,,0,0.0,0.0,,,,,,,,,,,,2022-03-10,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-03-15,2022-03-21,2022-03-10
105696,New Post engagement Ad,inactive,7-day click or 1-day view,143.0,actions:post_engagement,360,1.036111,0.13174825,50,Lifetime,18.84,2022-03-23,373,50.509383,,,,0,0.0,0.0,,,,,,,,,,,,2022-03-10,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-03-08,2022-03-14,2022-03-10
106515,New Post engagement Ad,inactive,7-day click or 1-day view,181.0,actions:post_engagement,832,1.133413,0.06071823,12,Lifetime,10.99,2022-03-05,943,11.654295,,,,2,0.212089,5.495,,,,,,,,,,,,2022-02-28,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-03-01,2022-03-07,2022-02-28
106673,AD09_Video_T4,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,0,0.0,0.0,Using campaign budget,0,0.0,2022-02-28,0,0.0,,,,0,0.0,0.0,,11.0,11.0,1.0,1.0,,,,,1.0,1.0,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-03-01,2022-03-07,2022-02-26
107141,New Post engagement Ad,inactive,7-day click or 1-day view,90.0,actions:post_engagement,286,1.020979,0.08577778,20,Lifetime,7.72,2022-02-25,292,26.438356,,,,2,0.684932,3.86,,,,,,,,,,,,2022-02-17,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-02-22,2022-02-28,2022-02-17
107302,New Post engagement Ad,inactive,7-day click or 1-day view,8.0,actions:post_engagement,61,1.0,0.12625,12,Lifetime,1.01,2022-03-05,61,16.557377,,,,0,0.0,0.0,,,,,,,,,,,,2022-02-28,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-02-22,2022-02-28,2022-02-28
107460,AD09_Video_T4,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,1246,1.526485,104.91,Using campaign budget,0,104.91,2022-02-28,1902,55.157729,95.0,1.104316,4.994742,151,7.939012,0.694768,82.0,31.0,31.0,1.0,1.0,1.0,1.0,0.657707,0.657707,1.0,1.0,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-22,2022-02-28,2022-02-26
107801,AD05_IMG_T1_Yellow,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,24,2.041667,3.22,Using campaign budget,0,3.22,2022-02-28,49,65.714286,4.0,0.805,8.163265,4,8.163265,0.805,4.0,10.0,10.0,2.0,2.0,1.0,1.0,49.378882,49.378882,1.0,1.0,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-22,2022-02-28,2022-02-26
107928,New Post engagement Ad,inactive,7-day click or 1-day view,129.0,actions:post_engagement,470,1.053191,0.0951938,20,Lifetime,12.28,2022-02-25,495,24.808081,,,,1,0.20202,12.28,,,,,,,,,,,,2022-02-17,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2022-02-15,2022-02-21,2022-02-17
108493,AD10_IMG_T4_V,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,276,1.130435,3.865,Using campaign budget,0,7.73,מתמשך,312,24.775641,6.0,1.288333,1.923077,7,2.24359,1.104286,4.0,,,,,,,,,2.0,2.0,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-15,2022-02-21,2022-02-07
108524,AD10_IMG_T4_V,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,1515,1.221122,13.2,Using campaign budget,0,26.4,מתמשך,1850,14.27027,24.0,1.1,1.297297,31,1.675676,0.851613,17.0,2.0,2.0,,,,,,,2.0,2.0,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-15,2022-02-21,2022-02-07
108611,AD01,inactive,7-day click,2.0,actions:offsite_conversion.fb_pixel_purchase,2223,2.525416,55.795,Using campaign budget,0,111.59,מתמשך,5614,19.877093,172.0,0.648779,3.063769,209,3.722836,0.533923,104.0,173.0,173.0,2.0,2.0,,,1.978672,1.978672,2.0,2.0,2022-01-13,2024-10-06,Catalog Sales,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-01-13
108808,AD07_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,0,0.0,0.0,50,Daily,0.0,מתמשך,0,0.0,,,,0,0.0,0.0,,26.0,26.0,,,1.0,1.0,,,1.0,1.0,2022-02-05,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-02-05
108843,AD10_IMG_T4_V,inactive,7-day click,2.0,actions:offsite_conversion.fb_pixel_purchase,181,3.143646,12.76,Using campaign budget,0,25.52,מתמשך,569,44.850615,10.0,2.552,1.757469,11,1.933216,2.32,9.0,15.0,15.0,2.0,2.0,2.0,2.0,4.326019,4.326019,2.0,2.0,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-02-07
108899,AD01,inactive,7-day click,2.0,actions:offsite_conversion.fb_pixel_purchase,162,7.092593,20.435,Using campaign budget,0,40.87,מתמשך,1149,35.570061,51.0,0.801373,4.438642,62,5.395997,0.659194,38.0,77.0,77.0,2.0,2.0,4.0,4.0,2.701248,2.701248,2.0,2.0,2022-01-10,2024-10-06,Catalog Sales,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-01-10
108971,AD10_IMG_T4_V,inactive,7-day click,2.0,actions:offsite_conversion.fb_pixel_purchase,693,2.213564,31.02,Using campaign budget,0,62.04,מתמשך,1534,40.443286,43.0,1.442791,2.803129,57,3.715776,1.088421,36.0,64.0,64.0,2.0,2.0,2.0,2.0,2.001934,2.001934,2.0,2.0,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-02-07
109095,AD10_IMG_T4_V,inactive,7-day click,2.0,actions:offsite_conversion.fb_pixel_purchase,276,2.01087,10.92,Using campaign budget,0,21.84,מתמשך,555,39.351351,15.0,1.456,2.702703,20,3.603604,1.092,12.0,26.0,26.0,4.0,4.0,3.0,3.0,6.318681,6.318681,2.0,2.0,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-02-07
109123,New Traffic Ad,inactive,7-day click or 1-day view,18.0,actions:link_click,690,1.030435,0.87111111,50,Lifetime,15.68,2022-02-09,711,22.053446,18.0,0.871111,2.531646,20,2.81294,0.784,8.0,,,,,,,,,,,2022-02-03,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-02-03
109214,AD09_Video_T4,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,0,0.0,0.0,20,Daily,0.0,מתמשך,0,0.0,,,,0,0.0,0.0,,12.0,12.0,2.0,2.0,3.0,3.0,,,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-01-13
109218,AD10_IMG_T4_V,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,1920,1.373958,14.66,Using campaign budget,0,29.32,מתמשך,2638,11.114481,30.0,0.977333,1.137225,32,1.21304,0.91625,23.0,19.0,19.0,1.0,1.0,2.0,2.0,4.706685,4.706685,2.0,2.0,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-02-07
109243,AD04_IMG_T2_Yellow,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,0,0.0,0.0,20,Daily,0.0,מתמשך,0,0.0,,,,0,0.0,0.0,,,,,,,,,,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-01-13
109342,AD10_IMG_T4_V,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,11742,1.512689,82.02,Using campaign budget,0,82.02,מתמשך,17762,4.617723,91.0,0.901319,0.51233,109,0.61367,0.752477,71.0,50.0,50.0,1.0,1.0,1.0,1.0,0.841258,0.841258,1.0,1.0,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-08,2022-02-14,2022-02-07
109403,AD09_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,993,1.043303,30.98,50,Daily,30.98,מתמשך,1036,29.903475,35.0,0.885143,3.378378,50,4.826255,0.6196,29.0,8.0,8.0,1.0,1.0,2.0,2.0,2.227243,2.227243,1.0,1.0,2022-02-05,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-01,2022-02-07,2022-02-05
109910,New Traffic Ad,inactive,7-day click or 1-day view,48.0,actions:link_click,1427,1.084793,0.715,50,Lifetime,34.32,2022-02-09,1548,22.170543,48.0,0.715,3.100775,51,3.294574,0.672941,35.0,,,,,,,,,,,2022-02-03,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-02-01,2022-02-07,2022-02-03
109970,AD09_Video_T4,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,683,1.395315,66.46,20,Daily,66.46,מתמשך,953,69.737671,58.0,1.145862,6.086044,81,8.499475,0.820494,48.0,28.0,28.0,1.0,1.0,1.0,1.0,2.392416,2.392416,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-01,2022-02-07,2022-01-13
110001,AD09_Video_T4,inactive,7-day click,3.0,actions:offsite_conversion.fb_pixel_purchase,785,1.51465,20.65,20,Daily,61.95,מתמשך,1189,52.102607,60.0,1.0325,5.046257,94,7.905803,0.659043,56.0,34.0,34.0,10.0,10.0,3.0,3.0,3.502825,3.502825,3.0,3.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-02-01,2022-02-07,2022-01-13
110185,AD01,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,259,1.594595,5.29,Using campaign budget,0,5.29,מתמשך,413,12.808717,8.0,0.66125,1.937046,14,3.389831,0.377857,5.0,10.0,10.0,1.0,1.0,2.0,2.0,20.793951,20.793951,1.0,1.0,2022-01-13,2024-10-06,Catalog Sales,0,ABSOLUTE_OCPM,2022-01-25,2022-01-31,2022-01-13
110728,New Traffic Ad,inactive,7-day click or 1-day view,37.0,actions:link_click,2079,1.040404,0.56486486,35,Lifetime,20.9,2022-01-29,2163,9.662506,37.0,0.564865,1.710587,48,2.21914,0.435417,27.0,7.0,7.0,,,,,,,,,2022-01-21,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-01-25,2022-01-31,2022-01-21
110758,AD09_Video_T4,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,63,1.269841,5.13,5,Daily,5.13,מתמשך,80,64.125,1.0,5.13,1.25,4,5.0,1.2825,1.0,10.0,10.0,2.0,2.0,3.0,3.0,21.442495,21.442495,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-25,2022-01-31,2022-01-13
110972,AD01,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,770,2.094805,24.62,Using campaign budget,0,24.62,מתמשך,1613,15.263484,33.0,0.746061,2.045877,47,2.913825,0.52383,22.0,27.0,27.0,1.0,1.0,1.0,1.0,5.158408,5.158408,1.0,1.0,2022-01-13,2024-10-06,Catalog Sales,0,ABSOLUTE_OCPM,2022-01-18,2022-01-24,2022-01-13
110975,AD09_Video_T4,inactive,7-day click,2.0,actions:offsite_conversion.fb_pixel_purchase,1641,1.061548,16.885,10,Daily,33.77,מתמשך,1742,19.385763,55.0,0.614,3.15729,72,4.13318,0.469028,36.0,5.0,5.0,,,,,,,2.0,2.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-18,2022-01-24,2022-01-13
111194,AD07_Video_T4,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,617,1.119935,6.945,20,Daily,13.89,מתמשך,691,20.101302,17.0,0.817059,2.460203,24,3.473227,0.57875,16.0,7.0,7.0,1.0,1.0,2.0,2.0,13.102952,13.102952,2.0,2.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-18,2022-01-24,2022-01-05
111228,AD04_IMG_T2_Yellow,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,660,1.259091,11.53,20,Daily,11.53,מתמשך,831,13.87485,14.0,0.823571,1.684717,19,2.286402,0.606842,13.0,10.0,10.0,1.0,1.0,1.0,1.0,9.54033,9.54033,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-18,2022-01-24,2022-01-13
