"Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Attribution setting",Results,"Results [7-day click all conversions]","Result indicator",Reach,Frequency,"Cost per results","Cost per results [7-day click all conversions]","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Content views","Content views [7-day click]","Website content views","Website content views [7-day click]","Checkouts Initiated","Checkouts Initiated [7-day click]","Website checkouts initiated","Website checkouts initiated [7-day click]","Adds of payment info","Adds of payment info [7-day click]","Website adds of payment info","Website adds of payment info [7-day click]","Purchase ROAS (return on ad spend)",purchase_roas_7d_click_all_conversions:omni_purchase,"Website purchase ROAS (return on ad spend)",website_purchase_roas_7d_click_all_conversions:offsite_conversion.fb_pixel_purchase,Purchases,"Purchases [7-day click]","Website purchases","Website purchases [7-day click]","Date created","Date last edited",Objective,"Reporting starts","Reporting ends",Starts
"ins vday sale 23","23:00:00 - 23:59:59",completed,"7-day click or 1-day view",9,,actions:post_engagement,18,1.055556,0.05777778,,"Using ad set budget",0,0.52,2023-02-11,19,27.368421,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","22:00:00 - 22:59:59",completed,"7-day click or 1-day view",12,,actions:post_engagement,26,1,0.08083333,,"Using ad set budget",0,0.97,2023-02-11,26,37.307692,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","21:00:00 - 21:59:59",completed,"7-day click or 1-day view",6,,actions:post_engagement,28,1,0.18333333,,"Using ad set budget",0,1.1,2023-02-11,28,39.285714,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","20:00:00 - 20:59:59",completed,"7-day click or 1-day view",9,,actions:post_engagement,31,1,0.13111111,,"Using ad set budget",0,1.18,2023-02-11,31,38.064516,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","19:00:00 - 19:59:59",completed,"7-day click or 1-day view",9,,actions:post_engagement,34,1.029412,0.13222222,,"Using ad set budget",0,1.19,2023-02-11,35,34,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","18:00:00 - 18:59:59",completed,"7-day click or 1-day view",8,,actions:post_engagement,31,1,0.12125,,"Using ad set budget",0,0.97,2023-02-11,31,31.290323,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","17:00:00 - 17:59:59",completed,"7-day click or 1-day view",5,,actions:post_engagement,26,1,0.172,,"Using ad set budget",0,0.86,2023-02-11,26,33.076923,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","16:00:00 - 16:59:59",completed,"7-day click or 1-day view",4,,actions:post_engagement,13,1,0.11,,"Using ad set budget",0,0.44,2023-02-11,13,33.846154,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","15:00:00 - 15:59:59",completed,"7-day click or 1-day view",5,,actions:post_engagement,18,1,0.15,,"Using ad set budget",0,0.75,2023-02-11,18,41.666667,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","14:00:00 - 14:59:59",completed,"7-day click or 1-day view",1,,actions:post_engagement,16,1.0625,0.55,,"Using ad set budget",0,0.55,2023-02-11,17,32.352941,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","13:00:00 - 13:59:59",completed,"7-day click or 1-day view",4,,actions:post_engagement,16,1,0.1475,,"Using ad set budget",0,0.59,2023-02-11,16,36.875,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","12:00:00 - 12:59:59",completed,"7-day click or 1-day view",6,,actions:post_engagement,16,1,0.145,,"Using ad set budget",0,0.87,2023-02-11,16,54.375,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","11:00:00 - 11:59:59",completed,"7-day click or 1-day view",4,,actions:post_engagement,20,1,0.2025,,"Using ad set budget",0,0.81,2023-02-11,20,40.5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","10:00:00 - 10:59:59",completed,"7-day click or 1-day view",3,,actions:post_engagement,12,1,0.11666667,,"Using ad set budget",0,0.35,2023-02-11,12,29.166667,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","09:00:00 - 09:59:59",completed,"7-day click or 1-day view",2,,actions:post_engagement,16,1,0.285,,"Using ad set budget",0,0.57,2023-02-11,16,35.625,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","08:00:00 - 08:59:59",completed,"7-day click or 1-day view",7,,actions:post_engagement,17,1,0.06,,"Using ad set budget",0,0.42,2023-02-11,17,24.705882,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","07:00:00 - 07:59:59",completed,"7-day click or 1-day view",5,,actions:post_engagement,13,1,0.084,,"Using ad set budget",0,0.42,2023-02-11,13,32.307692,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","06:00:00 - 06:59:59",completed,"7-day click or 1-day view",3,,actions:post_engagement,12,1,0.17,,"Using ad set budget",0,0.51,2023-02-11,12,42.5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","05:00:00 - 05:59:59",completed,"7-day click or 1-day view",2,,actions:post_engagement,6,1,0.125,,"Using ad set budget",0,0.25,2023-02-11,6,41.666667,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","04:00:00 - 04:59:59",completed,"7-day click or 1-day view",,,,3,1,,,"Using ad set budget",0,0.1,2023-02-11,3,33.333333,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","03:00:00 - 03:59:59",completed,"7-day click or 1-day view",1,,actions:post_engagement,2,1,0.04,,"Using ad set budget",0,0.04,2023-02-11,2,20,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","02:00:00 - 02:59:59",completed,"7-day click or 1-day view",2,,actions:post_engagement,6,1,0.07,,"Using ad set budget",0,0.14,2023-02-11,6,23.333333,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","01:00:00 - 01:59:59",completed,"7-day click or 1-day view",5,,actions:post_engagement,12,1,0.092,,"Using ad set budget",0,0.46,2023-02-11,12,38.333333,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","00:00:00 - 00:59:59",completed,"7-day click or 1-day view",1,,actions:post_engagement,6,1,0.2,,"Using ad set budget",0,0.2,2023-02-11,6,33.333333,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-08,2023-02-14,2023-01-23
"ins vday sale 23","23:00:00 - 23:59:59",completed,"7-day click or 1-day view",10,,actions:post_engagement,36,1.027778,0.11415735,,"Using ad set budget",0,1.141574,2023-02-11,37,30.853338,1,1.141574,2.702703,1,2.702703,1.141574,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","22:00:00 - 22:59:59",completed,"7-day click or 1-day view",19,,actions:post_engagement,54,1.018519,0.08011042,,"Using ad set budget",0,1.522098,2023-02-11,55,27.674509,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","21:00:00 - 21:59:59",completed,"7-day click or 1-day view",24,,actions:post_engagement,60,1.016667,0.09596561,,"Using ad set budget",0,2.303175,2023-02-11,61,37.756961,1,2.303175,1.639344,2,3.278689,1.151587,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","20:00:00 - 20:59:59",completed,"7-day click or 1-day view",19,,actions:post_engagement,59,1.050847,0.09381352,,"Using ad set budget",0,1.782457,2023-02-11,62,28.749304,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","19:00:00 - 19:59:59",completed,"7-day click or 1-day view",19,,actions:post_engagement,54,1,0.12280084,,"Using ad set budget",0,2.333216,2023-02-11,54,43.207704,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","18:00:00 - 18:59:59",completed,"7-day click or 1-day view",15,,actions:post_engagement,72,1.027778,0.13952565,,"Using ad set budget",0,2.092885,2023-02-11,74,28.282226,,,,1,1.351351,2.092885,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","17:00:00 - 17:59:59",completed,"7-day click or 1-day view",17,,actions:post_engagement,45,1,0.09660374,,"Using ad set budget",0,1.642264,2023-02-11,45,36.494747,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","16:00:00 - 16:59:59",completed,"7-day click or 1-day view",14,,actions:post_engagement,44,1.022727,0.1108671,,"Using ad set budget",0,1.552139,2023-02-11,45,34.491987,,,,1,2.222222,1.552139,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","15:00:00 - 15:59:59",completed,"7-day click or 1-day view",10,,actions:post_engagement,30,1,0.0861187,,"Using ad set budget",0,0.861187,2023-02-11,30,28.706234,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","14:00:00 - 14:59:59",completed,"7-day click or 1-day view",9,,actions:post_engagement,31,1.032258,0.13240472,,"Using ad set budget",0,1.191643,2023-02-11,32,37.238829,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","13:00:00 - 13:59:59",completed,"7-day click or 1-day view",12,,actions:post_engagement,37,1,0.10431044,,"Using ad set budget",0,1.251725,2023-02-11,37,33.830414,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","12:00:00 - 12:59:59",completed,"7-day click or 1-day view",12,,actions:post_engagement,40,1,0.09680009,,"Using ad set budget",0,1.161601,2023-02-11,40,29.040028,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","11:00:00 - 11:59:59",completed,"7-day click or 1-day view",14,,actions:post_engagement,33,1.030303,0.08511732,,"Using ad set budget",0,1.191643,2023-02-11,34,35.048309,1,1.191643,2.941176,2,5.882353,0.595821,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","10:00:00 - 10:59:59",completed,"7-day click or 1-day view",17,,actions:post_engagement,34,1,0.0960147,,"Using ad set budget",0,1.63225,2023-02-11,34,48.007348,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","09:00:00 - 09:59:59",completed,"7-day click or 1-day view",18,,actions:post_engagement,39,1.025641,0.08011042,,"Using ad set budget",0,1.441988,2023-02-11,40,36.049689,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","08:00:00 - 08:59:59",completed,"7-day click or 1-day view",9,,actions:post_engagement,43,1,0.14798175,,"Using ad set budget",0,1.331836,2023-02-11,43,30.972924,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","07:00:00 - 07:59:59",completed,"7-day click or 1-day view",8,,actions:post_engagement,22,1,0.10639665,,"Using ad set budget",0,0.851173,2023-02-11,22,38.689692,,,,1,4.545455,0.851173,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","06:00:00 - 06:59:59",completed,"7-day click or 1-day view",8,,actions:post_engagement,15,1,0.11015183,,"Using ad set budget",0,0.881215,2023-02-11,15,58.747642,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","05:00:00 - 05:59:59",completed,"7-day click or 1-day view",5,,actions:post_engagement,10,1,0.08211318,,"Using ad set budget",0,0.410566,2023-02-11,10,41.056591,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","04:00:00 - 04:59:59",completed,"7-day click or 1-day view",3,,actions:post_engagement,8,1,0.08678629,,"Using ad set budget",0,0.260359,2023-02-11,8,32.544859,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","03:00:00 - 03:59:59",completed,"7-day click or 1-day view",3,,actions:post_engagement,7,1.142857,0.10347596,,"Using ad set budget",0,0.310428,2023-02-11,8,38.803485,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","02:00:00 - 02:59:59",completed,"7-day click or 1-day view",3,,actions:post_engagement,8,1,0.09346216,,"Using ad set budget",0,0.280386,2023-02-11,8,35.048309,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","01:00:00 - 01:59:59",completed,"7-day click or 1-day view",7,,actions:post_engagement,15,1,0.08440205,,"Using ad set budget",0,0.590814,2023-02-11,15,39.387624,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","00:00:00 - 00:59:59",completed,"7-day click or 1-day view",7,,actions:post_engagement,25,1,0.14305432,,"Using ad set budget",0,1.00138,2023-02-11,25,40.05521,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-02-01,2023-02-07,2023-01-23
"ins vday sale 23","23:00:00 - 23:59:59",completed,"7-day click or 1-day view",11,,actions:post_engagement,35,1.028571,0.12,,"Using ad set budget",0,1.32,2023-02-11,36,36.666667,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","22:00:00 - 22:59:59",completed,"7-day click or 1-day view",13,,actions:post_engagement,41,1,0.11461538,,"Using ad set budget",0,1.49,2023-02-11,41,36.341463,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","21:00:00 - 21:59:59",completed,"7-day click or 1-day view",17,,actions:post_engagement,51,1,0.12941176,,"Using ad set budget",0,2.2,2023-02-11,51,43.137255,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","20:00:00 - 20:59:59",completed,"7-day click or 1-day view",14,,actions:post_engagement,38,1.052632,0.11071429,,"Using ad set budget",0,1.55,2023-02-11,40,38.75,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","19:00:00 - 19:59:59",completed,"7-day click or 1-day view",30,,actions:post_engagement,69,1,0.121,,"Using ad set budget",0,3.63,2023-02-11,69,52.608696,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","18:00:00 - 18:59:59",completed,"7-day click or 1-day view",25,,actions:post_engagement,52,1.019231,0.0848,,"Using ad set budget",0,2.12,2023-02-11,53,40,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","17:00:00 - 17:59:59",completed,"7-day click or 1-day view",5,,actions:post_engagement,24,1.041667,0.188,,"Using ad set budget",0,0.94,2023-02-11,25,37.6,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","16:00:00 - 16:59:59",completed,"7-day click or 1-day view",19,,actions:post_engagement,37,1.054054,0.08894737,,"Using ad set budget",0,1.69,2023-02-11,39,43.333333,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","15:00:00 - 15:59:59",completed,"7-day click or 1-day view",18,,actions:post_engagement,34,1.029412,0.095,,"Using ad set budget",0,1.71,2023-02-11,35,48.857143,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","14:00:00 - 14:59:59",completed,"7-day click or 1-day view",10,,actions:post_engagement,40,1,0.129,,"Using ad set budget",0,1.29,2023-02-11,40,32.25,1,1.29,2.5,1,2.5,1.29,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","13:00:00 - 13:59:59",completed,"7-day click or 1-day view",16,,actions:post_engagement,35,1,0.10875,,"Using ad set budget",0,1.74,2023-02-11,35,49.714286,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","12:00:00 - 12:59:59",completed,"7-day click or 1-day view",13,,actions:post_engagement,38,1,0.13153846,,"Using ad set budget",0,1.71,2023-02-11,38,45,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","11:00:00 - 11:59:59",completed,"7-day click or 1-day view",14,,actions:post_engagement,36,1,0.09285714,,"Using ad set budget",0,1.3,2023-02-11,36,36.111111,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","10:00:00 - 10:59:59",completed,"7-day click or 1-day view",13,,actions:post_engagement,30,1,0.12076923,,"Using ad set budget",0,1.57,2023-02-11,30,52.333333,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","09:00:00 - 09:59:59",completed,"7-day click or 1-day view",9,,actions:post_engagement,29,1,0.12333333,,"Using ad set budget",0,1.11,2023-02-11,29,38.275862,1,1.11,3.448276,1,3.448276,1.11,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","08:00:00 - 08:59:59",completed,"7-day click or 1-day view",13,,actions:post_engagement,25,1,0.06846154,,"Using ad set budget",0,0.89,2023-02-11,25,35.6,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","07:00:00 - 07:59:59",completed,"7-day click or 1-day view",10,,actions:post_engagement,23,1.043478,0.119,,"Using ad set budget",0,1.19,2023-02-11,24,49.583333,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","06:00:00 - 06:59:59",completed,"7-day click or 1-day view",7,,actions:post_engagement,16,1,0.11428571,,"Using ad set budget",0,0.8,2023-02-11,16,50,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","05:00:00 - 05:59:59",completed,"7-day click or 1-day view",1,,actions:post_engagement,8,1,0.4,,"Using ad set budget",0,0.4,2023-02-11,8,50,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","04:00:00 - 04:59:59",completed,"7-day click or 1-day view",5,,actions:post_engagement,7,1,0.086,,"Using ad set budget",0,0.43,2023-02-11,7,61.428571,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","03:00:00 - 03:59:59",completed,"7-day click or 1-day view",1,,actions:post_engagement,7,1,0.21,,"Using ad set budget",0,0.21,2023-02-11,7,30,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","02:00:00 - 02:59:59",completed,"7-day click or 1-day view",1,,actions:post_engagement,8,1,0.22,,"Using ad set budget",0,0.22,2023-02-11,8,27.5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","01:00:00 - 01:59:59",completed,"7-day click or 1-day view",5,,actions:post_engagement,8,1,0.076,,"Using ad set budget",0,0.38,2023-02-11,8,47.5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","00:00:00 - 00:59:59",completed,"7-day click or 1-day view",10,,actions:post_engagement,23,1,0.115,,"Using ad set budget",0,1.15,2023-02-11,23,50,1,1.15,4.347826,1,4.347826,1.15,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-25,2023-01-31,2023-01-23
"ins vday sale 23","23:00:00 - 23:59:59",completed,"7-day click or 1-day view",3,,actions:post_engagement,5,1,0.06666667,,"Using ad set budget",0,0.2,2023-02-11,5,40,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
"ins vday sale 23","22:00:00 - 22:59:59",completed,"7-day click or 1-day view",2,,actions:post_engagement,5,1,0.09,,"Using ad set budget",0,0.18,2023-02-11,5,36,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
"ins vday sale 23","21:00:00 - 21:59:59",completed,"7-day click or 1-day view",2,,actions:post_engagement,6,1,0.135,,"Using ad set budget",0,0.27,2023-02-11,6,45,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
"ins vday sale 23","20:00:00 - 20:59:59",completed,"7-day click or 1-day view",1,,actions:post_engagement,3,1,0.1,,"Using ad set budget",0,0.1,2023-02-11,3,33.333333,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
"ins vday sale 23","19:00:00 - 19:59:59",completed,"7-day click or 1-day view",2,,actions:post_engagement,4,1,0.12,,"Using ad set budget",0,0.24,2023-02-11,4,60,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
"ins vday sale 23","18:00:00 - 18:59:59",completed,"7-day click or 1-day view",5,,actions:post_engagement,7,1,0.046,,"Using ad set budget",0,0.23,2023-02-11,7,32.857143,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
"ins vday sale 23","17:00:00 - 17:59:59",completed,"7-day click or 1-day view",4,,actions:post_engagement,6,1,0.0875,,"Using ad set budget",0,0.35,2023-02-11,6,58.333333,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
"ins vday sale 23","16:00:00 - 16:59:59",completed,"7-day click or 1-day view",4,,actions:post_engagement,7,1,0.1025,,"Using ad set budget",0,0.41,2023-02-11,7,58.571429,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
"ins vday sale 23","15:00:00 - 15:59:59",completed,"7-day click or 1-day view",3,,actions:post_engagement,6,1,0.09666667,,"Using ad set budget",0,0.29,2023-02-11,6,48.333333,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
"ins vday sale 23","14:00:00 - 14:59:59",completed,"7-day click or 1-day view",4,,actions:post_engagement,9,1,0.1175,,"Using ad set budget",0,0.47,2023-02-11,9,52.222222,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
"ins vday sale 23","13:00:00 - 13:59:59",completed,"7-day click or 1-day view",4,,actions:post_engagement,7,1,0.1225,,"Using ad set budget",0,0.49,2023-02-11,7,70,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2023-01-18,2023-01-24,2023-01-23
